"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","624","softGroup keeps executing after a failing assertion @ui","","2026-05-08","passed","2026-05-08","","framework/assertions.spec.ts","",""
"","2361","products search narrows the catalog on automationexercise @ui","","2026-05-08","passed","2026-05-08","","ui/products.spec.ts","",""
"","1969","brand filter uses the sidebar component and shows Polo products @ui","","2026-05-08","passed","2026-05-08","","ui/products.spec.ts","",""
"","234","logger fixture resets history between tests @ui","","2026-05-08","passed","2026-05-08","","framework/fixture.spec.ts","",""
"","341","assertion helpers resolve against the live DOM in hard mode @ui","","2026-05-08","passed","2026-05-08","","framework/assertions.spec.ts","",""
"","2091","product details page exposes structured product information @ui","","2026-05-08","passed","2026-05-08","","ui/products.spec.ts","",""
"","3577","home page opens the live automationexercise site and navigates to products @ui","","2026-05-08","passed","2026-05-08","","ui/home.spec.ts","",""
"","350","softGroup body receives soft mode and restores hard mode afterwards @ui","","2026-05-08","passed","2026-05-08","","framework/assertions.spec.ts","",""
"","377","hard assertion failure throws immediately @ui","","2026-05-08","passed","2026-05-08","","framework/assertions.spec.ts","",""
"","2637","subscription footer confirms a successful subscription on the live site @ui","","2026-05-08","passed","2026-05-08","","ui/products.spec.ts","",""
"","5708","new user can create an account and sign in with it @ui","","2026-05-08","passed","2026-05-08","","ui/account.spec.ts","",""
"","337","worker-scoped fixture server serves mounted HTML @ui","","2026-05-08","passed","2026-05-08","","framework/fixture.spec.ts","",""
