"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2201","brand filter uses the sidebar component and shows Polo products @ui","","2026-05-10","passed","2026-05-10","","ui/products.spec.ts","",""
"","2493","home page opens the live automationexercise site and navigates to products @ui","","2026-05-10","passed","2026-05-10","","ui/home.spec.ts","",""
"","7950","new user can create an account and sign in with it @ui","","2026-05-10","passed","2026-05-10","","ui/account.spec.ts","",""
"","244","softGroup body receives soft mode and restores hard mode afterwards @ui","","2026-05-10","passed","2026-05-10","","unit/assertions.spec.ts","",""
"","458","hard assertion failure throws immediately @ui","","2026-05-10","passed","2026-05-10","","unit/assertions.spec.ts","",""
"","2597","products search narrows the catalog on automationexercise @ui","","2026-05-10","passed","2026-05-10","","ui/products.spec.ts","",""
"","1442","subscription footer confirms a successful subscription on the live site @ui","","2026-05-10","passed","2026-05-10","","ui/products.spec.ts","",""
"","501","assertion helpers resolve against the live DOM in hard mode @ui","","2026-05-10","passed","2026-05-10","","unit/assertions.spec.ts","",""
"","258","worker-scoped fixture server serves mounted HTML @ui","","2026-05-10","passed","2026-05-10","","unit/fixture.spec.ts","",""
"","745","softGroup keeps executing after a failing assertion @ui","","2026-05-10","passed","2026-05-10","","unit/assertions.spec.ts","",""
"","4057","user created via API can log in and is visible in the UI @e2e @ui","","2026-05-10","passed","2026-05-10","","ui/account-hybrid.spec.ts","",""
"","1944","product details page exposes structured product information @ui","","2026-05-10","passed","2026-05-10","","ui/products.spec.ts","",""
"","389","logger fixture resets history between tests @ui","","2026-05-10","passed","2026-05-10","","unit/fixture.spec.ts","",""
